X,Y,Major,Minor,Rotation,EFT:n,EFT:Jaqqard
33,33,30,27,38,1,0.19499
33,33,30,26,78,1,0.20315
33,33,30,26,58,1,0.17647
33,33,30,26,95,1,0.19519
33,33,30,27,78,1,0.17639
33,33,30,22,109,1,0.31457
33,33,30,27,58,1,0.18534
33,33,30,28,18,1,0.20681
33,33,30,27,95,1,0.21097
33,33,30,28,38,1,0.24209
33,33,30,23,109,1,0.26205
33,33,30,28,95,1,0.16253
33,33,30,28,78,1,0.2033
33,33,30,28,58,1,0.22545
33,33,30,24,109,1,0.26331
33,33,30,29,38,1,0.25634
33,33,30,25,109,1,0.26048
33,33,30,26,109,1,0.20319
33,33,30,29,18,1,0.20903
33,33,30,29,78,1,0.21922
33,33,30,29,95,1,0.23957
33,33,30,27,109,1,0.2156
33,33,30,29,58,1,0.21514
33,33,30,30,38,1,0.23681
33,33,30,3,37,0,1
33,33,30,4,37,0,1
33,33,30,28,109,1,0.18733
33,33,30,5,37,0,1
33,33,30,6,37,1,0.46923
33,33,30,7,37,1,0.4339
33,33,30,8,37,1,0.41509
33,33,30,30,78,1,0.23681
33,33,30,9,37,1,0.41687
33,33,30,3,77,0,1
33,33,30,10,37,1,0.36883
33,33,30,4,77,0,1
33,33,30,5,77,0,1
33,33,30,11,37,1,0.32041
33,33,30,6,77,0,1
33,33,30,7,77,1,0.78958
33,33,30,8,77,1,0.73656
33,33,30,12,37,1,0.29426
33,33,30,9,77,1,0.73096
33,33,30,30,18,1,0.23681
33,33,30,13,37,1,0.30734
33,33,30,10,77,1,0.68396
33,33,30,3,17,0,1
33,33,30,14,37,1,0.25109
33,33,30,11,77,1,0.68441
33,33,30,4,17,0,1
33,33,30,30,95,1,0.23681
33,33,30,5,17,0,1
33,33,30,15,37,1,0.24635
33,33,30,3,94,0,1
33,33,30,16,37,1,0.232
33,33,30,6,17,0,1
33,33,30,29,109,1,0.1771
33,33,30,12,77,1,0.628
33,33,30,4,94,0,1
33,33,30,30,58,1,0.23681
33,33,30,7,17,0,1
33,33,30,17,37,1,0.23619
33,33,30,5,94,0,1
33,33,30,3,57,0,1
33,33,30,13,77,1,0.6044
33,33,30,8,17,0,1
33,33,30,18,37,1,0.23166
33,33,30,6,94,0,1
33,33,30,4,57,0,1
33,33,30,9,17,0,1
33,33,30,5,57,0,1
33,33,30,7,94,1,0.8084
33,33,30,19,37,1,0.19197
33,33,30,14,77,1,0.56727
33,33,30,10,17,1,0.66949
33,33,30,6,57,1,0.625
33,33,30,8,94,1,0.78681
33,33,30,7,57,1,0.58152
33,33,30,15,77,1,0.54035
33,33,30,9,94,1,0.7624
33,33,30,11,17,1,0.62192
33,33,30,20,37,1,0.1913
33,33,30,10,94,1,0.72953
33,33,30,16,77,1,0.52303
33,33,30,8,57,1,0.51136
33,33,30,12,17,1,0.61134
33,33,30,9,57,1,0.48042
33,33,30,11,94,1,0.71396
33,33,30,17,77,1,0.4743
33,33,30,13,17,1,0.56156
33,33,30,21,37,1,0.19262
33,33,30,10,57,1,0.45995
33,33,30,14,17,1,0.53411
33,33,30,12,94,1,0.6746
33,33,30,18,77,1,0.44767
33,33,30,15,17,1,0.52611
33,33,30,22,37,1,0.224
33,33,30,11,57,1,0.42054
33,33,30,13,94,1,0.61233
33,33,30,19,77,1,0.3928
33,33,30,16,17,1,0.46995
33,33,30,12,57,1,0.44314
33,33,30,30,109,1,0.23681
33,33,30,14,94,1,0.60118
33,33,30,23,37,1,0.21069
33,33,30,17,17,1,0.46859
33,33,30,13,57,1,0.37344
33,33,30,3,108,0,1
33,33,30,15,94,1,0.55357
33,33,30,20,77,1,0.38496
33,33,30,4,108,0,1
33,33,30,14,57,1,0.37295
33,33,30,24,37,1,0.19549
33,33,30,16,94,1,0.53716
