X,Y,Major,Minor,Rotation,HEDAR:n,HEDAR:Jaccard,Hough:n,Hough:Jaccard,EFT:n,EFT:Jaccard
33,33,30,27,39,2,0.10065,30,0.19512,1,0.13564
33,33,30,29,59,1,0.033462,24,0.14949,1,0.2237
33,33,30,30,19,1,0,30,0.12598,1,0.1982
33,33,30,27,79,2,0.078457,27,0.18471,1,0.1039
33,33,30,30,110,1,0,30,0.12598,1,0.1982
33,33,30,28,39,1,0.080214,9,0.15348,1,0.17852
33,33,30,30,59,1,0,30,0.12598,1,0.1982
33,33,30,27,96,2,0.080902,6,0.16102,1,0.13564
33,33,30,1,18,3,0.37755,16,0.67016,2,0.88312
33,33,30,28,79,1,0.074646,19,0.14608,1,0.13074
33,33,30,1,109,4,0.37624,11,0.6631,0,1
33,33,30,29,39,1,0.041184,21,0.15245,1,0.20134
33,33,30,2,18,5,0.17925,42,0.56931,1,0.64777
33,33,30,1,58,2,0.30851,61,0.6798,0,1
33,33,30,28,96,1,0.069498,15,0.14133,1,0.14938
33,33,30,2,109,3,0.10417,69,0.55941,1,0.34286
33,33,30,29,79,1,0.048906,24,0.15831,1,0.20298
33,33,30,3,18,1,0.20183,2,0.41081,1,0.35294
33,33,30,2,58,1,0.17347,47,0.57619,0,1
33,33,30,30,39,1,0,30,0.12598,1,0.1982
33,33,30,3,109,1,0.18692,2,0.45685,0,1
33,33,30,29,96,1,0.046332,26,0.157,1,0.16734
33,33,30,4,18,3,0.087838,3,0.32161,1,0.44898
33,33,30,30,79,1,0,30,0.12598,1,0.1982
33,33,30,3,58,4,0.30539,11,0.48684,1,0.49485
33,33,30,1,38,3,0.38095,13,0.66667,0,1
33,33,30,4,109,3,0.16456,10,0.36967,1,0.34483
33,33,30,5,18,1,0.11765,4,0.36515,1,0.37551
33,33,30,30,96,1,0,30,0.12598,1,0.1982
33,33,30,4,58,2,0.16456,8,0.375,4,0.71888
33,33,30,1,78,3,0.34409,62,0.72018,0,1
33,33,30,5,109,1,0.11765,1,0.32287,1,0.50485
33,33,30,2,38,1,0.18557,85,0.63362,3,0.91282
33,33,30,6,18,1,0,4,0.26556,1,0.24034
33,33,30,5,58,2,0.23316,4,0.39147,1,0.37838
33,33,30,1,95,1,0.29333,4,0.71196,0,1
33,33,30,2,78,3,0.17526,71,0.61927,0,1
33,33,30,6,109,3,0.15023,3,0.26506,1,0.21154
33,33,30,3,38,3,0.26282,3,0.45283,2,0.70483
33,33,30,7,18,3,0.1267,1,0.26335,1,0.20968
33,33,30,6,58,4,0.21121,4,0.2907,3,0.40268
33,33,30,2,95,5,0.25439,28,0.55026,0,1
33,33,30,7,109,3,0.18548,5,0.30565,1,0.31834
33,33,30,3,78,1,0.24299,1,0.43094,0,1
33,33,30,4,38,2,0.1634,5,0.37788,1,0.53521
33,33,30,8,18,4,0.14232,2,0.22373,1,0.24667
33,33,30,7,58,2,0.17409,4,0.32343,1,0.2807
33,33,30,3,95,1,0.23358,1,0.39106,0,1
33,33,30,8,109,3,0.086957,5,0.26198,1,0.24055
33,33,30,4,78,3,0.17089,2,0.31088,3,0.68632
33,33,30,5,38,3,0.26512,9,0.37548,2,0.55586
33,33,30,9,18,1,0.094862,2,0.25806,1,0.17794
33,33,30,8,58,2,0.20789,6,0.25316,1,0.26899
33,33,30,9,109,1,0.11388,1,0.23853,1,0.14085
33,33,30,4,95,1,0.1037,5,0.36548,1,0.66065
33,33,30,5,78,1,0.20126,2,0.34025,1,0.33473
33,33,30,6,38,1,0.11055,7,0.32963,1,0.3221
33,33,30,9,58,2,0.22115,1,0.24702,1,0.2454
33,33,30,10,18,1,0,6,0.23433,1,0.19883
33,33,30,10,109,4,0.12654,6,0.22888,1,0.11875
33,33,30,5,95,2,0.17112,1,0.28507,3,0.72154
33,33,30,6,78,2,0.13065,2,0.25726,1,0.25833
33,33,30,7,38,2,0.17391,2,0.29866,1,0.36086
33,33,30,11,18,2,0.13506,1,0.21299,1,0.17192
33,33,30,10,58,1,0.17685,2,0.2067,1,0.22192
33,33,30,11,109,2,0.13181,1,0.21299,1,0.090909
33,33,30,6,95,2,0.20098,4,0.2563,2,0.6242
33,33,30,7,78,1,0.1784,1,0.27046,1,0.26335
33,33,30,8,38,1,0.097959,5,0.24762,1,0.24516
33,33,30,12,18,1,0,1,0.16623,1,0.17486
33,33,30,11,58,2,0.16102,2,0.24561,1,0.12828
33,33,30,12,109,3,0.10423,2,0.20844,1,0.087977
33,33,30,7,95,1,0.20576,1,0.27368,1,0.18623
33,33,30,8,78,4,0.17266,3,0.21405,1,0.26582
33,33,30,13,18,1,0.14211,4,0.24573,1,0.2679
33,33,30,9,38,2,0.13514,4,0.28255,1,0.1871
33,33,30,12,58,1,0.16527,1,0.16113,1,0.19804
33,33,30,13,109,1,0.10695,2,0.19865,1,0.090667
33,33,30,8,95,3,0.15326,2,0.24585,1,0.21908
33,33,30,9,78,2,0.23024,6,0.33067,1,0.21317
