N,SNR-Theoretical,SNR-Real,POD:Jaqqard,POD:Time,PODH:Jaqqard,PODH:Time,Hough:Jaqqard,Hough:Time
3,22,21.1735,0.98338,6.4154,0.15734,16.2896,0.48141,5.5055
4,22,21.646,0.98336,6.0632,0.15873,14.7011,0.41242,6.2237
5,22,21.2835,0.9832,5.9872,0.11525,16.4593,0.12957,11.5879
6,22,21.4193,0.98318,5.9865,0.13514,13.696,0.71987,19.9609
7,22,21.9657,0.98362,6.3507,0.11525,13.5809,0.94877,106.3428
8,22,21.7897,0.98403,6.2217,0.11525,14.7812,1,16.774
9,22,21.9135,0.9831,6.1494,0.11525,15.0051,0.51197,11.8984
10,22,20.9526,0.98316,6.0769,0.11525,15.8411,0.89041,31.6104
1,21,21.3164,0.98311,6.3278,0.11525,13.6841,0.87136,34.6048
2,21,20.3479,0.98331,6.2587,0.13514,15.2975,0.73367,47.6282
3,21,19.7793,0.98348,5.99,0.15603,16.1193,0.8943,74.0076
4,21,20.8129,0.98329,6.2906,0.16928,16.6611,0.80853,75.5371
5,21,20.6776,0.98283,6.4633,0.15385,16.6186,0.85391,45.5684
6,21,20.9561,0.98324,6.0747,0.1865,13.534,1,22.916
7,21,20.7413,0.98331,6.2239,0.15734,15.5345,0.76714,33.5686
8,21,19.7897,0.98332,6.2173,0.11525,15.1137,0.87916,50.5034
9,21,20.1231,0.98459,6.0095,0.24069,14.6141,0.85469,86.839
10,21,20.1148,0.98325,6.2166,0.11525,16.4584,1,46.2194
1,20,19.0484,0.98319,6.2597,0.15603,16.483,0.93506,145.8178
2,20,19.5099,0.98343,6.2998,0.34605,16.3133,0.94556,109.4938
3,20,19.5327,0.98347,5.9634,0.15603,15.9973,0.92157,111.8939
4,20,20.0477,0.98309,6.0066,0.21795,16.2594,0.93642,86.7702
5,20,19.3369,0.9831,6.3262,0.2577,16.9485,0.83656,169.0332
6,20,19.8164,0.98347,6.2087,0.11525,15.3151,0.89689,112.3649
7,20,19.3198,0.98323,5.9909,0.15972,14.8718,1,122.3375
8,20,18.9883,0.98268,6.1684,0.28378,13.5289,0.95251,216.2773
9,20,19.1854,0.98286,6.1228,0.2577,16.2318,0.94137,197.5195
10,20,19.2627,0.98319,6.0024,0.15385,13.1751,0.94581,131.0276
1,19,18.9097,0.98349,6.2634,0.15873,14.1509,0.84236,265.0969
2,19,18.1095,0.98308,6.0479,0.11525,16.0506,1,206.8894
3,19,18.9013,0.98333,6.2446,0.16404,16.3434,1,208.324
4,19,18.4592,0.98336,5.9714,0.16404,13.9609,0.89738,228.8928
5,19,18.3162,0.98343,5.9659,0.16404,15.6114,0.91788,163.0098
6,19,18.0518,0.98342,6.1917,0.15873,16.3566,1,141.7875
7,19,18.47,0.98273,6.4963,0.15873,16.9178,0.95715,232.9126
8,19,17.9918,0.98295,6.174,0.11525,13.1878,1,46.6161
9,19,18.2032,0.98295,6.1753,0.15972,16.3484,0.91435,79.8283
10,19,18.4022,0.983,5.8675,0.11525,15.333,1,307.2258
1,18,16.7027,0.98297,6.1478,0.15385,15.2508,0.94968,116.0174
2,18,17.1006,0.98329,6.1522,0.15385,12.7958,0.92169,73.8537
3,18,16.6781,0.98334,5.9521,0.10989,13.3528,1,91.5881
4,18,16.44,0.9829,5.9729,0.15603,12.7588,0.94275,136.9343
5,18,17.4866,0.98356,5.9934,0.17647,14.9678,1,85.1537
6,18,17.3651,0.98329,6.0066,0.18069,15.0658,0.93514,88.3116
7,18,17.3655,0.98336,6.1419,0.16404,15.0502,0.87038,100.5917
8,18,17.6747,0.98322,6.0616,0.16404,14.9533,0.92314,131.2398
9,18,17.267,0.98308,6.066,0.15873,15.5975,0.84847,90.644
10,18,17.3796,0.98334,6.0658,0.17647,15.2928,0.93526,87.0304
1,17,16.0683,0.9831,6.2884,0.11388,15.1925,0.86867,239.2416
2,17,16.3132,0.98321,6.039,0.28531,15.1018,1,240.6472
3,17,16.66,0.98288,5.9533,0.11525,14.9554,0.86633,207.8416
4,17,16.2646,0.98391,5.9647,0.15603,13.0005,0.9221,99.4835
5,17,16.7302,0.98334,6.2887,0.25731,13.8085,1,277.5842
6,17,16.2814,0.98356,6.0569,0.22364,16.405,0.68319,234.3867
7,17,16.0798,0.98307,6.0776,0.11525,18.3956,0.96317,231.6087
8,17,15.8682,0.98331,6.1178,0.19753,15.29,0.95463,345.0908
9,17,16.2605,0.98352,6.532,0.15873,15.4312,1,259.8616
10,17,16.4344,0.98328,6.1955,0.17957,15.3047,0.86254,183.775
1,16,15.562,0.98342,6.0948,0.26389,13.9525,0.94943,108.8231
2,16,15.3852,0.98313,6.1281,0.17957,16.3216,0.86959,103.25
3,16,15.0376,0.98338,6.1408,0.26148,15.3546,0.84705,224.0857
4,16,14.8162,0.98337,6.0385,0.25731,16.0478,1,147.6691
5,16,15.5974,0.98297,6.3235,0.11388,15.0033,0.91876,130.2349
6,16,14.9793,0.98358,6.2574,0.11525,15.9025,0.84217,130.8835
7,16,15.2097,0.98308,6.0198,0.12203,13.5357,0.91402,154.8117
8,16,15.4284,0.98332,6.1021,0.13514,15.3604,0.95576,162.08
9,16,15.2267,0.98353,6.0278,0.11525,15.2476,1,237.9552
10,16,15.1945,0.98302,6.0072,0.11525,14.8836,0.90433,161.4086
1,15,15.0207,0.98284,6.0058,0.11525,14.6372,1,426.8796
2,15,14.4918,0.98296,6.4497,0.38182,16.1264,0.9964,269.7954
3,15,14.4489,0.9831,6.2427,0.23571,16.4862,1,190.3319
4,15,14.5151,0.98302,6.2815,0.14094,13.9888,1,301.3842
5,15,14.4972,0.98338,6.1343,0.16,16.3556,0.94541,289.5386
6,15,14.8064,0.98353,6.0496,0.15385,13.9732,0.92396,300.991
7,15,14.5077,0.98304,6.4615,0.11525,16.8917,0.89417,172.9303
8,15,14.4231,0.98328,6.587,0.15385,16.2296,0.96035,271.1198
9,15,14.1871,0.98347,6.4533,0.17957,14.1145,1,353.3864
10,15,14.4448,0.98294,6.3427,0.13514,14.4434,1,230.7815
1,14,13.8426,0.98311,6.3138,0.15603,15.0164,0.95402,395.2002
2,14,14.3585,0.98334,6.0582,0.28184,15.1277,1,622.5103
3,14,14.5253,0.98338,6.0607,0.16,15.605,0.97213,367.9737
4,14,13.5775,0.98324,6.3114,0.16447,16.6263,1,237.1711
5,14,13.9553,0.98362,6.3989,0.16376,15.8536,0.74808,218.8045
6,14,14.0275,0.98247,6.1154,0.10989,15.9135,1,275.0907
7,14,13.5473,0.98337,6.0332,0.25743,15.6015,0.95493,369.0623
8,14,14.1825,0.98346,6.1102,0.15385,16.9641,0.91329,246.3203
9,14,14.2991,0.98314,6.4097,0.25143,13.8963,0.96185,148.5527
10,14,14.0432,0.98349,6.2522,0.13514,16.1829,1,379.1193
1,13,12.9155,0.98334,6.2765,0.3881,13.5893,1,247.7719
2,13,13.2669,0.98295,6.3122,0.20134,13.5613,0.97256,300.3471
3,13,12.863,0.98323,6.4275,0.28729,15.7975,0.90289,196.9326
4,13,13.1607,0.98419,6.305,0.3257,16.1355,0.95335,386.4419
5,13,12.9544,0.98342,6.2964,0.52434,15.8787,1,571.8438
6,13,12.4906,0.98303,5.8381,0.31169,12.9498,0.96895,219.0475
7,13,13.1242,0.98307,6.0986,0.54211,13.6164,0.95038,250.7805
8,13,12.7574,0.983,6.3937,0.21698,16.0201,0.92944,464.6163
9,13,12.8,0.98339,5.9648,0.16928,14.785,0.95698,475.8823
10,13,13.092,0.98348,5.8876,0.27059,15.1599,1,378.5527
1,12,11.8881,0.98344,5.9777,0.40181,15.4422,0.96302,272.6838
2,12,12.0639,0.98308,5.9445,0.23242,15.0899,0.96648,337.4448
3,12,12.2303,0.98325,6.0698,0.32632,13.8155,0.90041,253.765
4,12,12.0618,0.98325,6.3669,0.16667,15.9062,0.97466,314.5106
5,12,12.0975,0.98315,5.9977,0.44368,12.7258,1,406.122
6,12,12.238,0.98322,6.3249,0.65718,13.8346,0.95726,325.1758
7,12,12.1521,0.98337,6.1604,0.49515,16.6263,0.90765,285.2367
8,12,12.0503,0.98317,6.4907,0.31854,13.9738,1,471.8123
9,12,12.0831,0.98336,6.5275,0.55833,16.8383,1,326.8981
10,12,12.4725,0.98296,6.1371,0.41067,15.1646,0.92262,268.8247
1,11,10.908,0.98331,6.3032,0.90045,16.3431,1,369.5067
2,11,11.7125,0.9831,6.1298,0.92301,16.9121,0.95018,380.9211
3,11,11.289,0.98257,6.3788,0.89381,16.5444,1,300.9935
4,11,11.2541,0.98314,6.2164,0.91593,15.7116,0.95675,475.3308
5,11,11.3651,0.98286,6.1052,0.92374,15.7831,0.93884,485.2182
6,11,10.805,0.98285,6.062,0.92233,15.7873,0.88592,275.7544
7,11,11.0542,0.98282,6.102,0.91876,16.8673,1,288.8078
8,11,11.0846,0.98304,6.211,0.93221,14.6397,0.9156,425.3692
9,11,11.182,0.98303,6.2808,0.95652,16.3505,0.96591,325.6465
10,11,10.8561,0.98325,6.1984,0.91899,16.2802,0.99792,447.9296
1,10,10.6173,0.9839,6.3749,0.98032,16.5403,1,289.1512
2,10,10.2599,0.98296,6.2383,0.98028,15.9828,0.9208,396.5636
3,10,10.6059,0.98316,5.9873,0.97808,15.4867,0.81014,250.1752
4,10,10.565,0.98328,6.2219,0.97893,16.2939,1,388.623
5,10,10.4879,0.98363,6.1126,0.98068,15.8147,0.99395,350.5938
6,10,10.7229,0.98179,6.3,0.97977,13.6486,0.95739,361.8218
7,10,10.8483,0.98315,6.2357,0.98079,14.233,0.94542,478.8835
8,10,10.4654,0.9839,6.226,0.98162,13.0585,0.99805,343.1572
9,10,10.2746,0.98349,6.2722,0.9772,13.8555,0.99594,319.4181
10,10,10.4724,0.98313,6.4494,0.97968,15.925,0.89063,492.7171
1,9,9.7774,0.98328,6.3903,0.98332,14.0073,0.92201,771.9206
2,9,10.2063,0.98306,5.9927,0.98335,12.9107,1,309.0664
3,9,9.8763,0.98359,5.9956,0.98313,14.5426,0.99385,405.485
4,9,10.106,0.98335,6.0469,0.98339,15.602,0.94901,324.6798
5,9,9.8506,0.9831,6.0932,0.98317,16.496,0.96879,386
6,9,9.9813,0.98334,6.1078,0.98337,15.8833,0.96109,560.7965
7,9,10.1591,0.98319,6.1294,0.9832,15.8161,0.97749,402.1521
8,9,9.6127,0.98314,5.9578,0.98287,15.9134,1,309.8585
9,9,9.5495,0.98357,6.0358,0.98331,16.1793,1,664.9401
10,9,9.8597,0.98348,5.987,0.98359,15.8696,0.97004,368.7663
1,8,9.2618,0.98346,5.9761,0.98342,16.185,1,426.874
2,8,9.2515,0.98357,6.0442,0.98316,16.2192,0.96429,335.8492
3,8,9.1372,0.9833,5.9565,0.98326,15.9874,0.96161,345.2484
4,8,9.3256,0.98332,5.9554,0.98371,15.5943,0.89446,405.83
5,8,9.2402,0.98292,5.877,0.98329,15.436,0.9626,440.6625
6,8,9.308,0.98323,5.8721,0.98355,14.4088,0.97571,524.9228
7,8,9.1548,0.98355,5.8398,0.98324,14.5122,0.96199,242.8357
8,8,9.6008,0.98333,6.0768,0.98345,15.8449,1,418.274
9,8,9.2579,0.98344,6.007,0.98368,12.9896,0.91423,286.8236
10,8,9.364,0.98332,6.2445,0.98357,12.6332,0.96058,440.0312
1,7,8.8163,0.98347,6.0621,0.98353,12.6217,0.89491,352.2583
2,7,8.9825,0.98321,6.1249,0.98333,15.0905,0.96724,348.634
3,7,8.8515,0.98296,6.0021,0.98359,12.8001,0.9575,410.7063
4,7,8.8734,0.98299,5.9326,0.98372,15.003,0.96471,494.5805
