distx,disty,HEDAR:n,HEDAR:Jaccard,Hough:n,Hough:Jaccard,EFT:n,EFT:Jaccard
-10,-80,3,0.37972,8,0.14931,2,0.095986
-58,-79,2,0.22082,6,0.12625,2,0.11504
10,-82,3,0.36499,8,0.14931,2,0.094654
-82,-77,2,0.22082,6,0.12625,2,0.12025
26,-79,2,0.22082,6,0.12625,1,0.53444
-58,-78,2,0.23902,8,0.14931,2,0.098182
-34,-77,2,0.22082,6,0.12625,2,0.19336
-10,-79,3,0.38133,6,0.12625,2,0.09469
10,-81,3,0.36871,6,0.12625,2,0.078027
-82,-76,2,0.23902,8,0.14931,2,0.092129
26,-78,2,0.23902,8,0.14931,2,0.13537
-10,-78,4,0.39691,8,0.14931,2,0.12616
-34,-76,2,0.23902,8,0.14931,2,0.13063
-58,-77,2,0.22082,6,0.12625,2,0.08011
26,-77,2,0.22082,6,0.12625,2,0.10464
-82,-75,2,0.22082,6,0.12625,2,0.11364
10,-80,3,0.37972,8,0.14931,2,0.095406
-10,-77,3,0.3734,6,0.12625,2,0.11237
26,-76,2,0.23902,8,0.14931,2,0.10601
-34,-75,2,0.22082,6,0.12625,2,0.1374
-58,-76,2,0.23902,8,0.14931,2,0.092527
-82,-74,2,0.23902,8,0.14931,2,0.093357
26,-75,2,0.22082,6,0.12625,1,0.52823
-10,-76,3,0.38421,8,0.14931,2,0.11867
-34,-74,2,0.23902,8,0.14931,2,0.17025
10,-79,3,0.38133,6,0.12625,2,0.087783
-58,-75,2,0.22082,6,0.12625,2,0.12353
-82,-73,2,0.22082,6,0.12625,2,0.1157
-34,-73,2,0.22082,6,0.12625,2,0.15417
26,-74,2,0.23902,8,0.14931,2,0.10554
10,-78,4,0.39691,8,0.14931,2,0.10424
-10,-75,3,0.38502,6,0.12625,2,0.21231
-58,-74,2,0.23902,8,0.14931,2,0.093023
-34,-72,2,0.23902,8,0.14931,2,0.19126
-82,-72,2,0.23902,8,0.14931,2,0.095455
26,-73,2,0.22082,6,0.12625,2,0.1307
-10,-74,3,0.39535,8,0.14931,2,0.15638
10,-77,3,0.3734,6,0.12625,2,0.093382
-34,-71,2,0.22082,6,0.12625,2,0.14034
-58,-73,2,0.22082,6,0.12625,2,0.12092
-82,-71,2,0.22082,6,0.12625,2,0.081204
26,-72,2,0.23902,8,0.14931,2,0.12467
-10,-73,3,0.38502,6,0.12625,2,0.12478
-34,-70,2,0.23902,8,0.14931,1,0.57358
10,-76,3,0.38421,8,0.14931,2,0.12676
-82,-70,2,0.23902,8,0.14931,2,0.093948
-58,-72,2,0.23902,8,0.14931,2,0.09319
-10,-72,3,0.39535,8,0.14931,2,0.18283
-34,-69,2,0.22082,6,0.12625,1,0.55576
26,-71,2,0.22082,6,0.12625,2,0.12727
-82,-69,2,0.22082,6,0.12625,2,0.07573
-10,-71,4,0.4304,6,0.12625,2,0.18448
10,-75,3,0.38502,6,0.12625,2,0.16175
-58,-71,2,0.22082,6,0.12625,2,0.11441
26,-70,2,0.23902,8,0.14931,1,0.53714
-34,-68,2,0.23902,8,0.14931,2,0.17623
-82,-68,2,0.23902,8,0.14931,2,0.093357
-58,-70,2,0.23902,8,0.14931,2,0.09434
26,-69,2,0.22082,6,0.12625,1,0.53285
-10,-70,5,0.44007,8,0.14931,2,0.24336
10,-74,3,0.39535,8,0.14931,2,0.11817
-82,-67,2,0.22082,6,0.12625,2,0.11834
-34,-67,2,0.22082,6,0.12625,2,0.15116
-10,-69,4,0.41924,6,0.12625,2,0.23674
26,-68,3,0.32999,8,0.14931,1,0.53665
-58,-69,2,0.22082,6,0.12625,2,0.11508
-82,-66,2,0.23902,8,0.14931,2,0.093441
10,-73,3,0.38502,6,0.12625,2,0.10367
-10,-68,4,0.41813,8,0.14931,2,0.22953
-82,-65,2,0.22082,6,0.12625,2,0.11333
-34,-66,2,0.23902,8,0.14931,2,0.17456
-58,-68,2,0.23902,8,0.14931,2,0.099556
26,-67,3,0.31664,6,0.12625,2,0.1054
-82,-64,2,0.23902,8,0.14931,2,0.12511
-10,-67,4,0.41716,6,0.12625,2,0.2348
10,-72,3,0.39535,8,0.14931,2,0.095238
-34,-65,2,0.22082,6,0.12625,2,0.13303
-58,-67,2,0.22082,6,0.12625,2,0.084622
26,-66,3,0.32999,8,0.14931,2,0.13299
-82,-63,2,0.22082,6,0.12625,2,0.11717
-58,-66,2,0.23902,8,0.14931,2,0.11922
10,-71,4,0.4304,6,0.12625,2,0.081761
-34,-64,2,0.23902,8,0.14931,2,0.16754
-10,-66,4,0.41471,8,0.14931,2,0.21008
-82,-62,2,0.23902,8,0.14931,2,0.09319
26,-65,4,0.32607,6,0.12625,2,0.12477
-58,-65,2,0.22082,6,0.12625,2,0.1426
-82,-61,2,0.22082,6,0.12625,2,0.077626
-34,-63,2,0.22082,6,0.12625,2,0.13956
-10,-65,4,0.40871,6,0.12625,2,0.19059
10,-70,5,0.43975,8,0.14931,2,0.1405
26,-64,4,0.35404,8,0.14931,2,0.15938
-58,-64,2,0.23902,8,0.14931,2,0.11661
-82,-60,2,0.23902,8,0.14931,2,0.093274
-34,-62,2,0.23902,8,0.14931,2,0.12565
10,-69,4,0.41924,6,0.12625,2,0.1935
-10,-64,4,0.40632,8,0.14931,2,0.16461
-82,-59,2,0.22082,6,0.12625,2,0.077132
-58,-63,2,0.22082,6,0.12625,2,0.12511
26,-63,5,0.40475,6,0.12625,2,0.15486
-34,-61,2,0.22082,6,0.12625,2,0.11091
-10,-63,4,0.39926,6,0.12625,2,0.13128
-58,-62,2,0.23902,8,0.14931,2,0.10233
-82,-58,2,0.23902,8,0.14931,2,0.093044
10,-68,4,0.41813,8,0.14931,2,0.23052
-34,-60,2,0.23902,8,0.14931,1,0.53678
26,-62,5,0.41089,8,0.14931,2,0.10265
-82,-57,2,0.22082,6,0.12625,2,0.12195
